id,name,primary_attr,attack_type,roles,img,icon,base_health,base_health_regen,base_mana,base_mana_regen,base_armor,base_mr,base_attack_min,base_attack_max,base_str,base_agi,base_int,str_gain,agi_gain,int_gain,attack_range,projectile_speed,attack_rate,base_attack_time,attack_point,move_speed,cm_enabled,legs,day_vision,night_vision,localized_name,1_pick,1_win,2_pick,2_win,3_pick,3_win,4_pick,4_win,5_pick,5_win,6_pick,6_win,7_pick,7_win,8_pick,8_win,turbo_picks,turbo_picks_trend,turbo_wins,turbo_wins_trend,pro_pick,pro_win,pro_ban,pub_pick,pub_pick_trend,pub_win,pub_win_trend
11,nevermore,agi,Ranged,"['Carry', 'Nuker']",/apps/dota2/images/dota_react/heroes/nevermore.png?,/apps/dota2/images/dota_react/heroes/icons/nevermore.png?,120,0.25,75,0.3,1,25,16,22,19,25,18,2.7,3.5,2.2,525,1200,1.6,100,0.5,305,True,0,1800,800,Shadow Fiend,22175,10693,53817,26541,63403,31021,60488,29362,45971,22550,28908,14122,16635,7998,8522,4135,205822,"[28086, 28763, 29326, 31977, 36072, 36540, 15058]",97943,"[13343, 13590, 13894, 15237, 17319, 17456, 7104]",237,113,192,333458,"[45531, 46826, 47573, 50936, 58065, 59265, 25262]",162366,"[22386, 22709, 23197, 24687, 28289, 28885, 12213]"
12,phantom_lancer,agi,Melee,"['Carry', 'Escape', 'Pusher', 'Nuker']",/apps/dota2/images/dota_react/heroes/phantom_lancer.png?,/apps/dota2/images/dota_react/heroes/icons/phantom_lancer.png?,120,1.5,75,0.0,0,25,26,36,21,26,21,2.2,2.8,1.8,225,900,1.7,110,0.5,285,True,2,1800,800,Phantom Lancer,11976,6019,24838,12062,23767,11349,18390,8499,11244,5136,5914,2712,2884,1250,1320,565,74666,"[9960, 10304, 10164, 11137, 13014, 14178, 5909]",38586,"[5234, 5304, 5319, 5695, 6755, 7330, 2949]",62,35,55,117117,"[15820, 16130, 16111, 17300, 20544, 21870, 9342]",55997,"[7529, 7708, 7768, 8207, 9870, 10390, 4525]"
13,puck,int,Ranged,"['Initiator', 'Disabler', 'Escape', 'Nuker']",/apps/dota2/images/dota_react/heroes/puck.png?,/apps/dota2/images/dota_react/heroes/icons/puck.png?,120,0.5,75,0.5,0,25,22,30,17,14,23,2.4,2.5,3.8,550,900,1.7,100,0.5,290,True,2,1800,800,Puck,7743,3701,23663,11211,37048,17745,45618,22316,42914,21125,31976,15716,22162,11016,14762,7337,76540,"[10637, 10782, 10754, 11467, 13361, 13581, 5958]",36244,"[4998, 5111, 5167, 5451, 6236, 6435, 2846]",271,129,748,240239,"[33260, 34323, 34012, 35861, 41202, 42503, 19078]",116983,"[16082, 16668, 16533, 17529, 20105, 20759, 9307]"
14,pudge,str,Melee,"['Disabler', 'Initiator', 'Durable', 'Nuker']",/apps/dota2/images/dota_react/heroes/pudge.png?,/apps/dota2/images/dota_react/heroes/icons/pudge.png?,120,2.5,75,0.0,0,25,45,51,25,11,16,3.0,1.4,1.8,175,0,1.7,100,0.5,280,True,2,1800,800,Pudge,45478,23420,130345,66308,162976,81467,159674,78917,128133,62795,86884,42226,60017,29232,34887,16912,502410,"[68950, 71142, 70785, 76749, 87879, 89741, 37164]",254303,"[34812, 35857, 35657, 39113, 44463, 45607, 18794]",457,233,340,870954,"[120211, 123384, 122213, 130340, 150956, 155307, 68543]",433725,"[60125, 61302, 60892, 64942, 74933, 77317, 34214]"
15,razor,agi,Ranged,"['Carry', 'Durable', 'Nuker', 'Pusher']",/apps/dota2/images/dota_react/heroes/razor.png?,/apps/dota2/images/dota_react/heroes/icons/razor.png?,120,1.0,75,0.0,0,25,23,25,22,24,21,2.8,2.8,2.2,475,2000,1.7,100,0.3,280,True,0,1800,800,Razor,14418,7331,32227,16294,37650,19044,38118,18830,29915,14594,18978,9231,11065,5369,5463,2663,96200,"[13375, 13732, 13689, 14908, 16664, 16540, 7292]",49101,"[6640, 7004, 6996, 7590, 8601, 8492, 3778]",212,107,172,209748,"[28373, 29489, 29675, 31990, 36525, 36997, 16699]",104479,"[13963, 14568, 14760, 15976, 18267, 18545, 8400]"
16,sand_king,all,Melee,"['Initiator', 'Disabler', 'Support', 'Nuker', 'Escape']",/apps/dota2/images/dota_react/heroes/sand_king.png?,/apps/dota2/images/dota_react/heroes/icons/sand_king.png?,120,0.25,75,0.0,1,25,19,29,22,19,17,2.3,2.0,2.0,150,900,1.7,110,0.53,290,True,6,1800,800,Sand King,8391,4300,19769,9848,24152,11748,23859,11332,18985,8917,12543,5816,7336,3373,3653,1630,66690,"[8861, 9035, 8998, 9900, 13194, 11840, 4862]",34220,"[4540, 4631, 4585, 5147, 6820, 6001, 2496]",139,58,95,133069,"[18744, 18853, 18728, 19644, 23212, 23767, 10121]",64204,"[9168, 8982, 9054, 9337, 11286, 11499, 4878]"
17,storm_spirit,int,Ranged,"['Carry', 'Escape', 'Nuker', 'Initiator', 'Disabler']",/apps/dota2/images/dota_react/heroes/storm_spirit.png?,/apps/dota2/images/dota_react/heroes/icons/storm_spirit.png?,120,0.5,75,0.0,1,25,24,34,21,22,23,2.0,2.6,3.9,480,1100,1.6,115,0.5,285,True,2,1800,800,Storm Spirit,12247,5889,32347,15459,44113,21371,47908,22821,40406,19414,28717,13780,19114,9164,11249,5360,105730,"[14195, 14859, 14808, 15765, 18489, 18865, 8749]",52550,"[7121, 7404, 7322, 7864, 9068, 9384, 4387]",259,125,499,253985,"[35927, 36551, 35409, 37286, 44180, 44688, 19944]",121828,"[17285, 17354, 16976, 17948, 21201, 21402, 9662]"
18,sven,str,Melee,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']",/apps/dota2/images/dota_react/heroes/sven.png?,/apps/dota2/images/dota_react/heroes/icons/sven.png?,120,0.75,75,0.0,0,25,37,39,23,18,16,3.5,2.2,1.5,150,0,1.9,110,0.4,325,True,2,1800,800,Sven,12463,6197,32447,16000,41429,20425,42431,20939,35286,17108,24880,12069,16393,7933,10200,4829,78220,"[10671, 11319, 10979, 12239, 13583, 13720, 5709]",39239,"[5290, 5715, 5528, 6154, 6787, 6903, 2862]",250,131,97,235982,"[32716, 34801, 33562, 35342, 40870, 40667, 18024]",115766,"[15874, 16975, 16633, 17327, 20027, 19990, 8940]"
19,tiny,str,Melee,"['Carry', 'Nuker', 'Pusher', 'Initiator', 'Durable', 'Disabler']",/apps/dota2/images/dota_react/heroes/tiny.png?,/apps/dota2/images/dota_react/heroes/icons/tiny.png?,120,2.0,75,0.0,0,25,31,37,30,0,17,4.0,0.0,2.2,150,900,1.7,90,0.4,275,True,2,1800,800,Tiny,15345,7357,42176,19900,61298,29340,71340,34128,67527,32470,50928,24603,36640,17891,25793,12483,109539,"[15234, 15571, 15685, 16361, 19118, 19452, 8118]",50607,"[6942, 7045, 7243, 7673, 8961, 8994, 3749]",688,347,782,395075,"[55159, 56803, 56361, 58373, 67806, 68734, 31839]",189898,"[26490, 27304, 26858, 28416, 32388, 33141, 15301]"
20,vengefulspirit,agi,Ranged,"['Support', 'Initiator', 'Disabler', 'Nuker', 'Escape']",/apps/dota2/images/dota_react/heroes/vengefulspirit.png?,/apps/dota2/images/dota_react/heroes/icons/vengefulspirit.png?,120,0.25,75,0.0,0,25,26,32,20,21,19,2.6,3.2,1.5,400,1500,1.7,110,0.33,295,True,2,1800,800,Vengeful Spirit,9550,5094,28201,14713,39225,20702,42535,22423,34883,18257,21983,11624,12682,6570,5454,2855,85756,"[11880, 12009, 11952, 13028, 15284, 15638, 5965]",47591,"[6592, 6745, 6711, 7238, 8514, 8600, 3191]",235,111,51,210659,"[28775, 29676, 29435, 31558, 37283, 38264, 15668]",110515,"[15120, 15534, 15367, 16611, 19641, 20149, 8093]"
21,windrunner,all,Ranged,"['Carry', 'Support', 'Disabler', 'Escape', 'Nuker']",/apps/dota2/images/dota_react/heroes/windrunner.png?,/apps/dota2/images/dota_react/heroes/icons/windrunner.png?,120,0.25,75,0.25,0,25,21,33,18,17,18,2.6,1.7,3.2,600,1250,1.5,90,0.4,290,True,2,1800,800,Windranger,17783,8361,41301,19244,51895,24034,51496,23734,42358,19342,28144,12983,17391,7981,9539,4406,138431,"[18431, 19417, 19072, 20780, 24855, 25567, 10309]",65517,"[8722, 9176, 9015, 9802, 11835, 12110, 4857]",223,124,198,287049,"[39361, 40273, 40063, 42139, 50220, 52531, 22462]",133008,"[18221, 18734, 18599, 19359, 23409, 24326, 10360]"
22,zuus,int,Ranged,"['Nuker', 'Carry']",/apps/dota2/images/dota_react/heroes/zuus.png?,/apps/dota2/images/dota_react/heroes/icons/zuus.png?,120,0.25,75,0.0,2,25,33,41,19,11,22,2.1,1.2,3.3,380,1100,1.7,100,0.35,315,True,2,1800,800,Zeus,24771,12461,66927,33977,88133,44428,91991,45924,75869,37859,50453,25150,33282,16348,19500,9665,229399,"[31431, 32338, 32274, 34597, 39919, 41362, 17478]",114110,"[15653, 16175, 16084, 17102, 19797, 20644, 8655]",397,201,246,488723,"[68526, 69938, 69021, 72333, 83809, 86841, 38255]",244690,"[34528, 34897, 34656, 36102, 41915, 43519, 19073]"
23,kunkka,str,Melee,"['Carry', 'Support', 'Disabler', 'Initiator', 'Durable', 'Nuker']",/apps/dota2/images/dota_react/heroes/kunkka.png?,/apps/dota2/images/dota_react/heroes/icons/kunkka.png?,120,0.75,75,0.0,2,25,30,36,24,14,18,3.6,1.6,1.8,150,900,1.7,100,0.4,315,True,2,1800,800,Kunkka,6152,2910,15087,6975,18907,8838,18901,8971,14496,6973,8582,3986,4947,2351,2221,1057,46509,"[6354, 6323, 6266, 6840, 7958, 9520, 3248]",21362,"[2882, 2893, 2819, 3142, 3654, 4418, 1554]",85,42,26,100345,"[13738, 14328, 13992, 14926, 17256, 18373, 7732]",47455,"[6528, 6803, 6627, 6948, 8193, 8712, 3644]"
25,lina,int,Ranged,"['Support', 'Carry', 'Nuker', 'Disabler']",/apps/dota2/images/dota_react/heroes/lina.png?,/apps/dota2/images/dota_react/heroes/icons/lina.png?,120,0.25,75,0.0,0,25,21,29,20,23,30,2.4,2.4,3.8,670,1000,1.6,100,0.65,290,True,2,1800,800,Lina,19542,8689,39975,17896,46093,20294,42107,18616,29798,13209,17133,7544,8539,3787,3702,1578,118918,"[16522, 16789, 16803, 17917, 21009, 21173, 8705]",52621,"[7264, 7548, 7371, 7923, 9236, 9386, 3893]",167,87,175,237031,"[33285, 33728, 33139, 35473, 40737, 42585, 18084]",105264,"[14932, 15030, 14756, 15818, 17910, 18798, 8020]"
26,lion,int,Ranged,"['Support', 'Disabler', 'Nuker', 'Initiator']",/apps/dota2/images/dota_react/heroes/lion.png?,/apps/dota2/images/dota_react/heroes/icons/lion.png?,120,0.5,75,0.0,0,25,29,35,18,15,19,2.4,1.7,3.5,600,900,1.7,115,0.43,290,True,2,1800,800,Lion,39417,19513,115744,56941,152822,75549,155450,76810,121774,60107,75881,37353,44233,21850,20896,10454,330340,"[45025, 46827, 46773, 49879, 57192, 59794, 24850]",160386,"[21855, 22850, 22630, 24279, 27628, 29039, 12105]",557,265,173,778862,"[107298, 110328, 109959, 116846, 134747, 139744, 59940]",384919,"[52868, 54700, 54228, 57811, 66507, 69094, 29711]"
27,shadow_shaman,int,Ranged,"['Support', 'Pusher', 'Disabler', 'Nuker', 'Initiator']",/apps/dota2/images/dota_react/heroes/shadow_shaman.png?,/apps/dota2/images/dota_react/heroes/icons/shadow_shaman.png?,120,1.0,75,0.0,3,25,40,47,20,16,25,2.3,1.6,3.5,400,900,1.7,100,0.3,285,True,2,1800,800,Shadow Shaman,28508,14865,76149,39527,97664,50814,96037,49963,76041,39947,48626,25445,31470,16618,17472,9200,154760,"[21739, 21766, 21940, 23575, 26933, 27946, 10861]",79953,"[11229, 11228, 11233, 12200, 13960, 14391, 5712]",606,298,338,507714,"[70501, 72287, 71542, 75803, 88174, 91188, 38219]",264994,"[36648, 37741, 37278, 39856, 45931, 47613, 19927]"
28,slardar,str,Melee,"['Carry', 'Durable', 'Initiator', 'Disabler', 'Escape']",/apps/dota2/images/dota_react/heroes/slardar.png?,/apps/dota2/images/dota_react/heroes/icons/slardar.png?,120,0.5,75,0.0,3,25,30,38,21,17,15,3.6,2.1,1.5,150,0,1.7,100,0.36,300,True,0,1800,800,Slardar,13434,6946,34482,17423,41151,20755,40975,20714,32774,16569,21309,10703,13483,6699,7206,3621,74974,"[10131, 10536, 10474, 11473, 13179, 13580, 5601]",39375,"[5355, 5598, 5478, 6000, 6949, 7081, 2914]",251,115,171,225910,"[30701, 31304, 31166, 33948, 39714, 40832, 18245]",114328,"[15431, 15842, 15753, 17303, 20218, 20609, 9172]"
29,tidehunter,str,Melee,"['Initiator', 'Durable', 'Disabler', 'Nuker', 'Carry']",/apps/dota2/images/dota_react/heroes/tidehunter.png?,/apps/dota2/images/dota_react/heroes/icons/tidehunter.png?,120,0.25,75,0.5,0,25,25,31,27,15,20,3.6,1.5,1.7,150,900,1.7,100,0.6,300,True,2,1800,800,Tidehunter,15531,8126,48537,25360,72821,38539,83930,44718,73995,39247,52207,27762,35529,18481,21133,10861,107716,"[15401, 14944, 14550, 16075, 19082, 19348, 8316]",57707,"[8366, 7985, 7776, 8515, 10217, 10367, 4481]",633,325,764,425616,"[60811, 60495, 59276, 62813, 73646, 75238, 33337]",224302,"[32117, 31913, 31339, 33276, 38659, 39511, 17487]"
30,witch_doctor,int,Ranged,"['Support', 'Nuker', 'Disabler']",/apps/dota2/images/dota_react/heroes/witch_doctor.png?,/apps/dota2/images/dota_react/heroes/icons/witch_doctor.png?,120,0.25,75,0.0,0,25,26,36,20,13,22,2.1,1.4,3.1,550,1200,1.7,100,0.4,300,True,2,1800,800,Witch Doctor,30212,16159,91287,48792,119108,62883,118166,61905,87562,45020,52435,26644,28508,14280,10989,5346,231987,"[31918, 32911, 32440, 36275, 40600, 41737, 16106]",123994,"[17093, 17515, 17425, 19446, 21794, 22248, 8473]",333,156,180,574545,"[79104, 81623, 80603, 86650, 99719, 104008, 42838]",300221,"[41431, 42566, 42115, 45099, 52387, 54347, 22276]"
31,lich,int,Ranged,"['Support', 'Nuker']",/apps/dota2/images/dota_react/heroes/lich.png?,/apps/dota2/images/dota_react/heroes/icons/lich.png?,120,0.5,75,0.75,-1,25,24,33,20,17,26,2.1,2.0,3.8,550,900,1.7,100,0.46,290,True,2,1800,800,Lich,16349,8476,42656,22254,57375,29710,60092,30659,47928,24097,29847,14825,16198,7958,6129,3048,95102,"[12931, 13225, 13180, 14513, 17041, 17495, 6717]",50201,"[6753, 7039, 7069, 7621, 8959, 9247, 3513]",270,124,135,297556,"[40703, 41885, 41655, 44636, 52706, 53858, 22113]",151749,"[20661, 21450, 21413, 22533, 26940, 27520, 11232]"
32,riki,agi,Melee,"['Carry', 'Escape', 'Disabler']",/apps/dota2/images/dota_react/heroes/riki.png?,/apps/dota2/images/dota_react/heroes/icons/riki.png?,120,2.5,75,0.0,0,25,22,26,18,30,14,2.0,2.4,1.3,150,900,1.7,90,0.3,315,True,2,1800,800,Riki,16738,8492,36760,18424,42094,21445,39400,19929,30364,15311,19487,9575,12642,6305,7213,3531,118919,"[16414, 17054, 16746, 17875, 20700, 21285, 8845]",60006,"[8186, 8560, 8445, 9032, 10548, 10729, 4506]",152,72,142,229689,"[31994, 32469, 31877, 34262, 39585, 41532, 17970]",115654,"[15993, 16281, 16261, 17210, 19845, 21115, 8949]"
33,enigma,all,Ranged,"['Disabler', 'Initiator', 'Pusher']",/apps/dota2/images/dota_react/heroes/enigma.png?,/apps/dota2/images/dota_react/heroes/icons/enigma.png?,120,0.25,75,0.5,1,25,19,25,21,14,19,2.5,1.0,3.6,500,900,1.7,100,0.4,280,True,0,1800,800,Enigma,6468,3167,17294,8582,20835,10254,18682,9290,13251,6620,7970,3954,4500,2270,2519,1279,80218,"[11208, 11209, 11199, 12438, 14338, 14260, 5566]",40285,"[5636, 5601, 5655, 6238, 7230, 7107, 2818]",104,62,136,103328,"[14448, 14502, 14535, 15549, 18145, 18684, 7465]",51077,"[7090, 7119, 7177, 7650, 9069, 9241, 3731]"
34,tinker,int,Ranged,"['Carry', 'Nuker', 'Pusher']",/apps/dota2/images/dota_react/heroes/tinker.png?,/apps/dota2/images/dota_react/heroes/icons/tinker.png?,120,0.25,75,0.5,4,25,22,28,19,17,30,2.3,1.4,3.3,500,900,1.7,100,0.35,310,True,2,1800,800,Tinker,11955,5685,38553,18922,52582,26336,58287,29733,51758,26534,38413,19841,27470,14323,18536,9642,128861,"[16787, 17844, 18428, 20551, 22612, 22779, 9860]",61338,"[7920, 8508, 8683, 9750, 10919, 10871, 4687]",289,160,754,316071,"[43110, 44578, 45079, 48303, 54313, 55679, 25009]",159839,"[21683, 22490, 22876, 24365, 27433, 28250, 12742]"
35,sniper,agi,Ranged,"['Carry', 'Nuker']",/apps/dota2/images/dota_react/heroes/sniper.png?,/apps/dota2/images/dota_react/heroes/icons/sniper.png?,120,0.25,75,0.0,-1,25,13,19,19,27,15,2.0,3.2,2.6,550,3000,1.7,100,0.17,285,True,2,1800,1400,Sniper,42024,20575,106528,52060,132665,64836,126706,62222,92120,44947,53124,25741,29501,14284,13686,6607,366692,"[50627, 52192, 51702, 55792, 63707, 66024, 26648]",180916,"[24941, 25589, 25586, 27542, 31207, 32703, 13348]",373,170,557,658399,"[91118, 93193, 92026, 98113, 113609, 119366, 50974]",321551,"[44512, 45423, 45123, 47795, 55389, 58251, 25058]"
36,necrolyte,int,Ranged,"['Carry', 'Nuker', 'Durable', 'Disabler']",/apps/dota2/images/dota_react/heroes/necrolyte.png?,/apps/dota2/images/dota_react/heroes/icons/necrolyte.png?,120,0.25,75,0.0,2,25,26,30,18,12,23,2.3,1.3,2.7,500,1200,1.7,100,0.3,280,True,2,1800,800,Necrophos,23652,12721,67552,35737,84761,44022,83819,42612,64173,32371,38740,19108,22820,11188,9863,4676,162275,"[21799, 22678, 22878, 24843, 28904, 29071, 12102]",84319,"[11330, 11680, 11860, 12957, 15089, 14973, 6430]",199,105,246,426367,"[59033, 59957, 59358, 63644, 74770, 76315, 33290]",219105,"[30402, 30784, 30441, 32783, 38376, 39020, 17299]"
37,warlock,int,Ranged,"['Support', 'Initiator', 'Disabler']",/apps/dota2/images/dota_react/heroes/warlock.png?,/apps/dota2/images/dota_react/heroes/icons/warlock.png?,120,0.25,75,0.0,1,25,27,37,22,10,25,2.4,1.0,3.1,600,1200,1.7,90,0.3,300,True,2,1800,800,Warlock,14441,7898,43112,23217,58672,30940,60184,31226,46939,23765,31300,15743,19996,9826,13083,6304,102398,"[14231, 14329, 14294, 15424, 17916, 18709, 7495]",56277,"[7688, 7826, 7899, 8571, 9870, 10300, 4123]",405,219,309,306333,"[42980, 43815, 43063, 45538, 53019, 55056, 22862]",158799,"[22280, 22725, 22381, 23527, 27445, 28548, 11893]"
38,beastmaster,all,Melee,"['Initiator', 'Disabler', 'Durable', 'Nuker']",/apps/dota2/images/dota_react/heroes/beastmaster.png?,/apps/dota2/images/dota_react/heroes/icons/beastmaster.png?,120,0.25,75,0.0,-1,25,28,32,25,22,16,2.9,1.9,1.9,150,0,1.7,100,0.3,305,True,2,1800,800,Beastmaster,4134,1903,12657,5865,17083,7966,18269,8608,15516,7236,11988,5667,8946,4266,7070,3511,28528,"[3997, 3959, 4046, 4287, 5041, 5057, 2141]",12605,"[1751, 1713, 1821, 1923, 2186, 2225, 986]",190,86,290,103569,"[14981, 14968, 14984, 15408, 17467, 17937, 7824]",48663,"[7042, 7087, 7130, 7211, 8163, 8412, 3618]"
